source_id,target_id,rel_type,rel_subtype,rel_desc_chn,direction,year_start,year_end,weight,evidence_level,source_ref,cbdb_assoc_code,cbdb_role_type,primary_rel,is_bridge
32430,13060,COLLEAGUE,CL_SUPERIOR,上司為Y,directed,,,0.8,inferred,,481,P,0,1
32430,95025,KIN,K_OTHER,孫,directed,,,0.7,primary,textid=24309,243,KIN,0,1
32534,15353,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
32534,19244,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,1,0
32534,31453,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
32534,32061,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,1,1
32534,32136,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,0,1
32534,187373,KIN,K_CHILD,子,directed,,,1.0,primary,textid=32033,180,KIN,1,1
32534,447993,KIN,K_NEPHEW_NIECE,從子;姪子,directed,,,0.7,primary,歷代名畫記,177,KIN,1,1
32540,3915,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=25640,438,P,0,0
32540,11605,SOCIAL,SO_GIFT_POETRY,收到Y的贈詩、文,directed,,,0.5,primary,textid=40303,438,P,0,0
32540,12236,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,0,1
32540,15353,SOCIAL,SO_GIFT_POETRY,贈詩、文,directed,,,0.5,primary,textid=40303,437,A,0,1
