c_personid,name_chn,name_rm,surname_chn,given_name_chn,birthyear,deathyear,is_female,dynasty_code,dynasty_chn,dynasty_en,role,bridge_tier
449759,劉灣,Liu Wan,劉,灣,,,0,6,唐,Tang,bridge,C
449774,劉太冲,Liu Taichong,劉,太冲,,,0,6,唐,Tang,bridge,A
449791,劉蕡,Liu Fen,劉,蕡,,,0,6,唐,Tang,bridge,C
449792,劉棲楚,Liu Qichu,劉,棲楚,,,0,6,唐,Tang,bridge,C
449848,劉公濟,Liu Gongji,劉,公濟,,,0,6,唐,Tang,bridge,B
449867,丘爲,Qiu Wei,丘,爲,,,0,6,唐,Tang,bridge,C
449892,陸淹,Lu Yan,陸,淹,,,0,6,唐,Tang,bridge,A
449894,陸澧,Lu Li,陸,澧,,,0,6,唐,Tang,bridge,B
449907,陸棣,Lu Di,陸,棣,,,0,6,唐,Tang,bridge,A
449911,陸暢,Lu Chang,陸,暢,,,0,6,唐,Tang,bridge,B
449924,陳商,Chen Shang,陳,商,,,0,6,唐,Tang,bridge,B
449943,陳羽,Chen Yu,陳,羽,,,0,6,唐,Tang,bridge,C
450002,陳貺,Chen Kuang,陳,貺,,,0,6,唐,Tang,bridge,A
450008,陳兼,Chen Jian,陳,兼,,,0,6,唐,Tang,bridge,B
450027,周元範,Zhou Yuanfan,周,元範,,,0,6,唐,Tang,bridge,B
450035,周繇,Zhou Yao,周,繇,,,0,6,唐,Tang,bridge,B
450041,周寶,Zhou Bao,周,寶,,,0,6,唐,Tang,bridge,C
450076,屈突陝,Qutu Shan,屈突,陝,,,0,6,唐,Tang,bridge,C
450109,閻防,Yan Fang,閻,防,,,0,6,唐,Tang,bridge,B
450127,釋鑒玄,Shi Jianxuan,釋,鑒玄,,,0,6,唐,Tang,bridge,C
450146,李氏(李守禮女),Li Shi(Li Shouli's Daughter),李,氏(李守禮女),,,1,6,唐,Tang,bridge,B
450208,李下玉（義陽公主）,Li Xia Yu(Yiyang Princess),李,下玉（義陽公主）,,,1,6,唐,Tang,bridge,B
450264,釋智玄,Shi Zhixuan,釋,智玄,,,0,6,唐,Tang,bridge,C
450285,鄭諴,Zheng Xian,鄭,諴,,,0,6,唐,Tang,bridge,C
450288,鄭說,Zheng Shuo,鄭,說,,,0,6,唐,Tang,bridge,C
450312,鄭元規,Zheng Yuangui,鄭,元規,,,0,6,唐,Tang,bridge,B
450314,鄭處誨,Zheng Chuhui,鄭,處誨,,,0,6,唐,Tang,bridge,C
450364,鄭賁,Zheng Ben,鄭,賁,,,0,6,唐,Tang,bridge,C
450412,鄭惟忠,Zheng Weizhong,鄭,惟忠,,,0,6,唐,Tang,bridge,C
450449,釋少微,Shi Shaowei,釋,少微,,,0,6,唐,Tang,bridge,B
450457,釋尚顏,Shi Shangyan,釋,尚顏,,,0,6,唐,Tang,bridge,B
450491,李氏(李純女),Li Shi(Li Chun's Daughter),李,氏(李純女),,,1,6,唐,Tang,bridge,B
450533,盧冀,Lu Ji,盧,冀,,,0,6,唐,Tang,bridge,A
450597,李珏,Li Jue,李,珏,,,0,6,唐,Tang,bridge,B
450631,衛伯玉,Wei Boyu,衛,伯玉,,,0,6,唐,Tang,bridge,B
450650,令狐緒,Linghu Xu,令狐,緒,,,0,6,唐,Tang,bridge,C
450651,鄭愕,Zheng E,鄭,愕,,,0,6,唐,Tang,bridge,A
450663,釋悟空,Shi Wukong,釋,悟空,,,0,6,唐,Tang,bridge,C
450665,裴衡,Pei Heng,裴,衡,,,0,6,唐,Tang,bridge,C
450670,裴儔,Pei Chou,裴,儔,,,0,6,唐,Tang,bridge,B
450704,趙能卿,Zhao Nengqing,趙,能卿,,,0,6,唐,Tang,bridge,C
450715,周娥皇,Zhou Ehuang,周,娥皇,,,0,6,唐,Tang,bridge,A
512425,張岧,Zhang Tiao,張,岧,,,0,6,唐,Tang,bridge,C
